Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,ppi,CpuBrand,SSD,HDD,GpuBrand,os
Asus,Netbook,2,0.98,122.69318400000002,0,0,135.0942111925629,Intel,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,638.72064,0,1,141.21199808219862,Intel Core i5,128,1024,Nvidia,Windows
HP,Notebook,4,1.86,164.95488,0,0,100.45466986113651,AMD,0,500,AMD,No OS
Dell,2 in 1 Convertible,8,1.62,523.63584,1,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Ultrabook,8,1.91,421.33824,0,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
Dell,Notebook,4,2.3,267.66167040000005,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Apple,Ultrabook,8,1.35,702.65664,0,0,127.67794013309688,Intel Core i5,0,0,Intel,macOS
Dell,Notebook,8,2.2,511.488,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Dell,Ultrabook,8,1.88,829.8892800000001,0,0,141.21199808219862,Intel Core i7,512,0,Intel,Windows
HP,Notebook,8,2.5,572.8665599999999,0,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Chuwi,Notebook,4,1.89,156.63680639999998,0,0,141.21199808219862,Intel,0,0,Intel,Windows
Asus,Notebook,2,1.65,127.23263999999999,0,0,111.93520355955211,AMD,0,0,AMD,Windows
HP,Notebook,4,2.71,280.67904,0,0,127.33567457123111,AMD,0,500,AMD,Windows
Dell,Ultrabook,16,1.2,1194.9638400000001,1,0,276.053530085501,Intel Core i7,512,0,Intel,Windows
Apple,Ultrabook,8,1.35,638.08128,0,0,127.67794013309688,Intel Core i5,0,0,Intel,macOS
Lenovo,Notebook,4,1.44,159.20064,0,0,111.93520355955211,Intel,0,0,Intel,Windows
Acer,Notebook,4,2.1,234.64512,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Linux
Dell,Notebook,8,2.8,625.93344,0,1,127.33567457123111,Intel Core i5,128,1024,AMD,Windows
HP,Notebook,4,1.86,312.4488384,0,0,100.45466986113651,Intel Core i5,0,1024,Intel,Windows
HP,Notebook,8,2.1,561.9974400000001,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Notebook,4,2.0,248.71104,0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Linux
Dell,Gaming,16,2.65,958.4006400000001,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,8,2.3,334.3788864,0,0,100.45466986113651,Intel Core i5,0,1024,Nvidia,Linux
Acer,Notebook,4,2.2,436.04352,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,638.72064,1,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Apple,Ultrabook,8,1.37,907.2518399999999,0,1,226.98300468106115,Intel Core i5,256,0,Intel,macOS
Lenovo,Notebook,4,2.2,235.92384,0,0,100.45466986113651,Intel Core i3,128,0,Intel,No OS
Asus,Gaming,8,3.2,830.52864,0,0,127.33567457123111,AMD,256,1024,AMD,Windows
Dell,Notebook,4,2.3,408.55104,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Asus,Notebook,4,2.8,297.94176,0,0,90.58340172449303,Intel,0,1024,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,203.95584,1,1,224.17380907857276,Intel,0,0,Intel,Android
Acer,Notebook,8,2.2,537.70176,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,4,1.86,254.77856640000002,0,0,141.21199808219862,AMD,256,0,AMD,Windows
HP,Notebook,8,1.49,705.21408,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Acer,Notebook,4,2.4,245.51424,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Notebook,8,2.13,490.900608,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
HP,Notebook,4,1.91,280.67904,0,0,141.21199808219862,Intel Core i3,128,0,Intel,Windows
Asus,Notebook,4,2.0,374.78643840000007,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
MSI,Gaming,16,2.43,1565.7926400000001,0,0,127.33567457123111,Intel Core i7,256,2048,Nvidia,Windows
Asus,Notebook,4,2.0,265.3344,0,0,141.21199808219862,Intel Core i3,256,0,Intel,Linux
Dell,Notebook,16,2.8,830.52864,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
Dell,Ultrabook,8,1.7,561.9974400000001,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Lenovo,Notebook,8,1.7,382.97664000000003,0,1,157.3505121487356,Intel Core i3,256,0,Intel,No OS
Asus,Notebook,8,1.4,601.6377600000001,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
HP,Notebook,8,1.86,441.1584,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Asus,Ultrabook,16,1.8,1267.8508800000002,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
HP,Notebook,4,1.86,280.48083840000004,0,0,100.45466986113651,Intel Core i3,0,500,AMD,Windows
HP,Notebook,4,1.44,146.41344,0,0,111.93520355955211,Intel,32,0,Intel,Windows
Lenovo,Notebook,4,1.9,351.00864,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
Asus,Gaming,12,3.0,606.75264,0,0,127.33567457123111,Intel Core i7,0,1024,Nvidia,Linux
Microsoft,Ultrabook,4,1.252,696.26304,1,0,200.84255993695703,Intel Core i5,128,0,Intel,Windows
Dell,Ultrabook,8,1.4,610.5888,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
Dell,Notebook,8,2.2,556.2432,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
MSI,Gaming,8,2.7,700.0992,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Acer,Notebook,8,2.1,248.71104,0,0,111.93520355955211,Intel Core i3,0,1024,Intel,Windows
Asus,Gaming,8,2.2,606.75264,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
Lenovo,Notebook,8,2.2,331.82784,0,0,141.21199808219862,Intel Core i5,0,2048,Intel,No OS
Dell,Notebook,8,2.02,546.6528000000001,0,0,141.21199808219862,Intel Core i7,128,1024,Intel,Windows
Acer,Notebook,4,2.2,338.86080000000004,0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Windows
HP,Notebook,8,2.5,624.65472,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Dell,Ultrabook,8,1.88,700.8408575999999,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Apple,Ultrabook,8,0.92,965.4336000000001,0,1,226.41554716935852,Intel Core i5,512,0,Intel,macOS
HP,Notebook,8,1.63,549.8496,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Lenovo,Notebook,4,2.2,255.10464000000002,0,0,141.21199808219862,AMD,128,0,AMD,Windows
Acer,Notebook,4,2.1,252.54719999999998,0,0,100.45466986113651,AMD,0,1024,AMD,Windows
Dell,Gaming,16,2.65,862.4966400000001,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
HP,Ultrabook,8,1.83,446.91264,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,8,1.96,382.9702464,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
Asus,Gaming,16,2.2,926.43264,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
Dell,Ultrabook,8,1.21,1054.30464,0,1,165.6321180513006,Intel Core i7,256,0,Intel,Windows
Asus,Gaming,8,2.45,446.91264,0,0,141.21199808219862,AMD,0,1024,AMD,Windows
Acer,Notebook,8,2.2,440.51903999999996,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
HP,Notebook,16,1.49,765.31392,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Dell,Gaming,8,2.65,764.0352,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Ultrabook,8,1.25,670.6886400000001,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,541.5379200000001,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.2,383.552064,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Linux
Dell,Notebook,4,2.2,310.0896,0,0,141.21199808219862,Intel Core i3,256,0,AMD,Linux
Asus,Notebook,6,2.0,368.91072,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
HP,Gaming,12,2.62,798.56064,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
HP,Notebook,8,1.91,459.69984,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
HP,Notebook,4,2.1,223.13664000000003,0,0,141.21199808219862,AMD,0,500,AMD,Windows
Dell,Notebook,8,2.2,413.66592,0,0,141.21199808219862,Intel Core i5,0,1024,AMD,Linux
HP,Ultrabook,8,1.38,715.44384,0,1,165.6321180513006,Intel Core i7,256,0,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,856.7424,1,0,200.84255993695703,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,1.58,421.33824,0,1,157.3505121487356,Intel Core i5,256,0,Nvidia,Windows
Lenovo,Notebook,4,1.85,265.270464,0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
Asus,Ultrabook,8,1.3,762.75648,0,1,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
MSI,Gaming,16,2.2,830.52864,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Lenovo,Notebook,8,1.58,946.2528,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Asus,Ultrabook,16,1.5,806.8723200000001,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Dell,Ultrabook,8,1.23,881.6774399999999,1,0,276.053530085501,Intel Core i7,256,0,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,894.46464,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Notebook,4,1.63,461.61792,0,1,111.93520355955211,Intel Core i5,0,500,Intel,Windows
Dell,Ultrabook,8,1.21,1041.51744,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,2 in 1 Convertible,8,1.26,894.4582464,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
HP,Notebook,8,1.63,693.06624,0,0,157.3505121487356,Intel Core i7,512,0,Intel,Windows
Dell,Notebook,8,2.16,722.6877887999999,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,4,2.0,360.59904,0,0,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
Asus,Notebook,8,1.7,714.80448,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Acer,Notebook,6,2.1,306.25344,1,1,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
MSI,Gaming,16,1.8,1433.12544,0,0,141.21199808219862,Intel Core i7,256,2048,Nvidia,Windows
Lenovo,Notebook,8,2.2,402.15743999999995,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,No OS
HP,Notebook,16,2.5,812.62656,0,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
Acer,Notebook,4,2.1,288.35136,0,0,100.45466986113651,AMD,256,0,AMD,Windows
HP,Notebook,4,1.86,165.59424,0,0,100.45466986113651,Intel,0,500,Intel,No OS
HP,Notebook,8,1.63,519.1603200000001,0,0,157.3505121487356,Intel Core i5,0,1024,Intel,Windows
Asus,Notebook,4,1.65,177.7356864,0,0,111.93520355955211,AMD,64,0,AMD,Windows
Dell,Notebook,16,2.8,892.5465599999999,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
HP,Notebook,8,2.5,593.3260799999999,0,0,127.33567457123111,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.36,408.5446464,0,0,100.45466986113651,Intel Core i5,0,1024,AMD,Windows
Dell,Notebook,4,2.2,287.07264000000004,0,0,141.21199808219862,Intel Core i3,0,1024,AMD,Windows
Acer,Ultrabook,8,1.6,565.1942399999999,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Acer,Notebook,4,2.2,365.71392000000003,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
HP,Notebook,8,2.05,382.33727999999996,0,0,100.45466986113651,Intel Core i7,0,1024,Intel,Windows
HP,Notebook,8,1.63,631.68768,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
Lenovo,Notebook,4,1.9,161.3488896,0,0,100.45466986113651,Intel,0,1024,Intel,No OS
Asus,Gaming,8,3.0,599.71968,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
Lenovo,Notebook,4,2.2,319.04064,0,0,141.21199808219862,Intel Core i5,0,1024,Nvidia,No OS
HP,Notebook,4,1.32,446.91264,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Acer,Notebook,4,3.0,418.7808,0,1,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
Lenovo,Notebook,8,1.75,713.5385472,0,1,157.3505121487356,Intel Core i5,256,0,AMD,Windows
Lenovo,Gaming,8,2.4,555.60384,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,No OS
Toshiba,Notebook,4,2.1,384.89472,0,0,100.45466986113651,Intel Core i5,0,500,Intel,Windows
HP,Notebook,4,1.86,235.92384,0,0,100.45466986113651,AMD,256,0,AMD,Windows
Asus,Ultrabook,8,1.25,702.65664,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
HP,Ultrabook,8,0.97,1287.67104,1,1,352.4651472131677,Intel,512,0,Intel,Windows
Asus,Notebook,4,2.0,219.93984,0,0,141.21199808219862,Intel,0,1024,Intel,Windows
MSI,Gaming,16,2.9,1297.26144,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,4,2.1,285.79392,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Gaming,16,2.56,798.7268736,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
Dell,Gaming,8,2.62,574.7846400000001,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,318.40128,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
MSI,Gaming,16,2.8,1208.3904,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Ultrabook,4,1.48,691.78752,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,1.91,395.76384,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,402.15743999999995,1,1,157.3505121487356,Intel Core i3,256,0,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,840.7583999999999,1,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,670.6886400000001,1,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
Toshiba,Notebook,4,2.1,285.79392,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
Asus,Notebook,4,2.03,257.66208,0,0,100.45466986113651,AMD,0,1024,AMD,Windows
Acer,Notebook,4,3.0,514.6848,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
Dell,Notebook,8,2.13,465.45408,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
Lenovo,Gaming,16,2.5,689.86944,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Acer,Notebook,4,2.1,222.49728,0,0,100.45466986113651,Intel,0,1024,Intel,Windows
MSI,Gaming,16,2.4,1150.20864,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,4,2.1,232.4137536,0,0,100.45466986113651,Intel,0,1024,Intel,Windows
Dell,Gaming,8,2.56,678.0348864,0,0,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
Acer,Notebook,8,3.0,546.0134400000001,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
HP,Notebook,4,1.49,482.07744,0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
Huawei,Ultrabook,8,1.05,862.4966400000001,0,1,199.69207064108247,Intel Core i5,256,0,Intel,Windows
HP,Notebook,6,2.71,446.91264,0,1,127.33567457123111,Intel Core i5,0,2048,AMD,Windows
Lenovo,Notebook,4,2.2,197.56224,0,0,100.45466986113651,AMD,0,500,AMD,No OS
Toshiba,Notebook,4,2.0,312.64704,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
HP,Notebook,8,2.5,590.12928,0,0,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
Dell,Notebook,8,2.3,293.46624,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Acer,Notebook,4,2.1,287.07264000000004,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
MSI,Gaming,32,4.4,1789.56864,0,0,119.7232157653423,Intel Core i7,512,1024,Nvidia,Windows
Lenovo,Notebook,8,1.9,519.79968,0,0,141.21199808219862,Intel Core i5,128,1024,AMD,Windows
HP,2 in 1 Convertible,8,1.29,958.4006400000001,1,1,331.2642361026012,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,16,2.02,670.6886400000001,0,0,141.21199808219862,Intel Core i7,256,2048,AMD,Linux
Dell,Ultrabook,8,1.23,894.46464,0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,1182.1766400000001,1,1,316.96506044349616,Intel Core i7,512,0,Intel,Windows
Toshiba,Notebook,8,2.0,507.01248000000004,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
Xiaomi,Notebook,8,1.95,766.5926400000001,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,No OS
Dell,Notebook,16,2.77,990.36864,1,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
Dell,Notebook,16,2.06,1532.54592,1,0,282.42399616439724,Intel Core i7,512,0,Nvidia,Windows
Lenovo,Gaming,8,2.4,498.06144000000006,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,No OS
Acer,Ultrabook,8,1.12,632.32704,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,8,2.8,693.7056,0,0,127.33567457123111,Intel Core i7,128,1024,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,1805.55264,1,0,209.8006828649808,Intel Core i7,1024,0,Intel,Windows
Vero,Notebook,4,1.3,166.2336,0,1,157.3505121487356,Intel,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,639.2960639999999,0,1,165.6321180513006,Intel Core i5,256,0,Nvidia,No OS
Lenovo,Notebook,8,2.8,446.27328000000006,0,0,106.11306214269258,Intel Core i5,256,0,Nvidia,No OS
Dell,2 in 1 Convertible,8,1.62,536.42304,1,1,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
HP,Notebook,8,2.5,584.37504,0,1,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
Razer,Gaming,32,3.49,3899.45664,1,0,254.67134914246222,Intel Core i7,1024,0,Nvidia,Windows
HP,Notebook,8,1.49,613.1462399999999,0,0,165.6321180513006,Intel Core i5,512,0,Intel,Windows
HP,Gaming,16,3.35,881.6774399999999,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Notebook,8,2.5,668.1312,0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
Dell,Gaming,16,2.65,1179.6192,0,1,282.42399616439724,Intel Core i7,512,1024,Nvidia,Windows
Lenovo,Notebook,4,2.1,315.20448,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
Acer,Notebook,8,2.23,474.40512,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
Lenovo,Gaming,16,3.2,1118.24064,0,1,141.21199808219862,Intel Core i7,512,1024,Nvidia,Windows
Dell,Workstation,16,2.8,1953.2448,0,0,282.42399616439724,Intel,256,1024,Nvidia,Windows
Lenovo,Gaming,16,2.4,893.82528,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,No OS
Dell,Notebook,6,2.3,280.67904,1,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
Dell,Ultrabook,8,1.21,1246.11264,1,1,331.2642361026012,Intel Core i7,256,0,Intel,Windows
Dell,Ultrabook,8,1.2,926.43264,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
Lenovo,Notebook,8,2.2,381.69792,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
Acer,Notebook,8,2.4,498.06144000000006,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Linux
Asus,Gaming,16,2.9,899.5795199999999,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
HP,Notebook,4,2.1,223.13664000000003,0,0,141.21199808219862,Intel Core i3,0,500,Intel,No OS
Lenovo,Notebook,8,2.2,351.00864,0,0,141.21199808219862,Intel Core i5,256,0,Intel,No OS
Huawei,Ultrabook,8,1.05,958.4006400000001,0,1,199.69207064108247,Intel Core i7,512,0,Intel,Windows
Dell,Ultrabook,8,1.4,595.8067968,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
Lenovo,Notebook,8,2.8,376.58304,0,0,106.11306214269258,Intel Core i5,0,1024,Nvidia,No OS
HP,Notebook,8,1.63,659.18016,0,0,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
Dell,Ultrabook,8,1.6,734.62464,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,817.74144,1,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
Dell,Notebook,8,2.2,433.070496,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Linux
Lenovo,2 in 1 Convertible,8,1.74,574.7846400000001,0,1,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Toshiba,Ultrabook,8,1.2,871.44768,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
HP,Notebook,8,2.1,507.65184,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
Dell,Gaming,16,4.42,1570.4855424,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Acer,Notebook,8,2.2,531.94752,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
Dell,Notebook,16,2.3,549.2166336,1,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
Asus,Notebook,8,2.0,491.66784,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Asus,Notebook,8,2.69,569.66976,0,0,127.33567457123111,Intel Core i5,256,500,Nvidia,Windows
HP,Notebook,8,1.9,811.3478399999999,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
Asus,Notebook,4,2.37,255.09824640000002,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
HP,Notebook,4,2.1,210.98879999999997,0,0,100.45466986113651,AMD,0,500,AMD,Windows
Lenovo,Gaming,16,3.2,958.4006400000001,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
Dell,Notebook,8,1.6,549.21024,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,440.51903999999996,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
Dell,Notebook,16,2.36,574.7846400000001,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Linux
Acer,Notebook,4,2.1,249.3504,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Linux
Asus,Notebook,4,2.2,367.632,0,0,141.21199808219862,AMD,128,1024,AMD,Windows
Asus,Gaming,32,4.7,2487.1104,0,0,127.33567457123111,Intel Core i7,512,1024,Nvidia,Windows
Acer,Gaming,8,2.5,540.89856,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,376.58304,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
Asus,Notebook,8,2.1,732.0672,0,0,127.33567457123111,Intel Core i7,128,1024,Nvidia,Windows
Asus,Notebook,8,2.69,568.39104,0,0,127.33567457123111,Intel Core i7,128,1024,Nvidia,No OS
Dell,Gaming,8,2.56,561.9974400000001,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,689.86944,1,1,158.48253022174808,Intel Core i7,256,0,Intel,Windows
Dell,Notebook,8,2.2,629.7696000000001,0,0,141.21199808219862,Intel Core i7,128,2048,AMD,Windows
HP,Notebook,8,2.04,357.40224,1,0,100.45466986113651,Intel Core i5,0,1024,Intel,Windows
Asus,Gaming,16,3.6,1917.44064,0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
HP,Notebook,4,1.49,431.568,0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
Apple,Ultrabook,8,1.37,1304.2944,0,1,226.98300468106115,Intel Core i5,512,0,Intel,macOS
Dell,2 in 1 Convertible,8,2.08,523.63584,1,1,141.21199808219862,Intel Core i7,0,1024,Intel,Windows
Asus,Gaming,16,4.3,1150.20864,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
Asus,Notebook,4,1.68,299.85984,0,0,100.45466986113651,AMD,0,1024,AMD,Windows
Lenovo,2 in 1 Convertible,8,1.37,1182.1766400000001,1,1,158.48253022174808,Intel Core i7,512,0,Intel,Windows
